Designator,Footprint,Quantity,Value,LCSC Part #
C2,CP_Elec_4x3,1,220uF 10V,
"C3, C4",0402,2,100nF,
D1,D_SOD-123,1,20V 3A,
F2,0603,1,4V 2A,
J1,PinHeader_2x03_P2.54mm_Vertical_SMD,1,ASDR_CTRL,
J2,PinHeader_2x03_P2.54mm_Vertical_SMD,1,WAVE_CTRL,
J4,PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x02,
PWR1,0603,1,GREEN_LED,
R39,0201,1,4.7k,
"R40, R41, R42",0201,3,10K,
"RV10, RV15, RV20",Potentiometer_Piher_PC-16_Single_Horizontal,3,10K,
"RV11, RV12, RV13, RV14, RV16, RV17, RV18, RV19, RV6, RV7, RV8, RV9",Potentiometer_Bourns_PTA4543_Single_Slide,12,10K,
"S1, S2, S3",SW_SRBM149501,3,SRBM149501,
TP1,TestPoint_Pad_D1.0mm,1,1v1,
TP2,TestPoint_Pad_D1.0mm,1,2v2,
"U3, U4",SSOP-24_5.3x8.2mm_P0.65mm,2,CD74HC4067SM,
